,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,NET_COST,Binary_25k
4298,Vatterott College-Appling Farms,Memphis,TN,1,3,11.0,,,,,,,,,0.0,355.0,0.1746,0.7831,0.0225,0.0028,0.0028,0.0,0.0141,0.0,0.0,0.0,,16519.0,0.2835,,0.561,,,0.2474,0.5521,22155.0,245.96591780000003,0.306055646,,0.5968,34200.0,0.36954087,16519.0,0.0
1859,Virginia College-Augusta,Augusta,GA,2,3,12.0,,,,,,,,,0.0,902.0,0.1463,0.7761,0.0155,0.0211,0.0022,0.0,0.01,0.0,0.0288,0.3614,,17165.0,0.9096,0.7167,,0.3333,,0.8168,0.6375,19000.0,210.93895,0.256332599,,,26400.0,0.389043003,17165.0,0.0
3175,San Jose State University,San Jose,CA,3,1,11.0,495.0,535.0,,22.0,21.0,23.0,,1030.0,0.0,25723.0,0.2254,0.0351,0.2383,0.3561,0.0014,0.0079,0.0522,0.0453,0.0381,0.1925,13794.0,,0.3955,0.8782,,0.5476,,0.3548,0.1993,16251.0,180.41941459999998,0.8781544259999999,0.475560486,,54600.0,0.709165275,13794.0,1.0
2778,ITT Technical Institute-Duluth,Duluth,GA,2,3,21.0,,,,,,,,,0.0,591.0,0.2978,0.4569,0.1354,0.0288,0.0102,0.0,0.0305,0.0,0.0406,0.2064,,22988.0,0.7402,,,,,0.8081,0.7479,25833.5,286.80480869999997,0.394119686,0.267244828,,38400.0,0.591855824,22988.0,0.0
870,Colby-Sawyer College,New London,NH,3,2,42.0,,,,,,,,,0.0,1395.0,0.6323,0.0538,0.0287,0.01,0.0022,0.0014,0.0065,0.1161,0.1491,0.0065,,22644.0,0.3355,0.7362,,,,0.7576,0.0142,27000.0,299.75535,0.8794642859999999,0.556723735,,38600.0,0.719298244,22644.0,1.0
4799,Strayer University-Cedar Hill,Cedar Hill,TX,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.52542400000004,0.44477491700000005,,,,,,
2284,Colorado Technical University-Greenwood Village,Aurora,CO,3,3,11.0,,,,,,,,,0.0,644.0,0.2283,0.0807,0.0435,0.0171,0.0031,0.0,0.0062,0.0,0.6211,0.5233,,17117.0,0.5347,0.3478,,0.5185,,0.7314,0.8155,35500.0,394.122775,0.433425623,0.141149412,,44100.0,0.602325737,17117.0,1.0
2649,Lyndon State College,Lyndonville,VT,3,1,33.0,465.0,465.0,455.0,20.0,19.0,20.0,7.0,930.0,0.0,1363.0,0.8305,0.0308,0.044,0.0051,0.0073,0.0,0.0213,0.0066,0.0543,0.0778,14059.0,,0.4411,0.6437,,0.5,,0.7837,0.0961,26900.0,298.645145,0.7989756720000001,0.331459589,,34100.0,0.538336039,14059.0,0.0
5066,Bluefield College,Bluefield,VA,3,2,33.0,445.0,460.0,,19.0,17.0,20.0,,900.0,0.0,821.0,0.6699,0.229,0.028,0.0037,0.0024,0.0012,0.0256,0.0171,0.0231,0.1255,,20132.0,0.2022,0.4853,,,,0.3394,0.4241,20625.0,228.9797813,0.794376098,0.38971384600000003,,42800.0,0.718614697,20132.0,1.0
5200,Fortis College School of Cosmetology,Mobile,AL,1,3,12.0,,,,,,,,,0.0,80.0,0.3125,0.65,0.0,0.025,0.0,0.0,0.0,0.0,0.0125,0.0,,14876.0,0.8053,,0.5333,,,0.8009,0.4375,11692.0,129.8051686,0.354645814,,0.4240224,20400.0,0.240789473,14876.0,0.0
2502,State Fair Community College,Sedalia,MO,2,1,33.0,,,,,,,,,0.0,4374.0,0.8532,0.0432,0.0222,0.0075,0.0071,0.0018,0.0297,0.0,0.0352,0.3788,5678.0,,0.5582,,0.5975,,0.3483,0.4049,0.3398,11599.5,128.778229,0.519275701,,0.27401614,29200.0,0.443405062,5678.0,0.0
4722,Sanford-Brown Institute-Iselin,Iselin,NJ,1,3,21.0,,,,,,,,,0.0,735.0,0.3741,0.1769,0.2503,0.034,0.0,0.0,0.0014,0.0,0.1633,0.0,,22761.0,0.5039,,0.7073,,,0.6317,0.4449,9500.0,105.469475,0.409117821,,0.7031192559999999,28300.0,0.524061024,22761.0,0.0
1405,The Institute for Health Education,Jersey City,NJ,1,3,11.0,,,,,,,,,0.0,98.0,0.0612,0.1939,0.6837,0.051,0.0,0.0102,0.0,0.0,0.0,0.0,,16959.0,0.6779999999999999,,0.6038,,,0.4463,0.7959,6010.0,66.7233205,0.41048034899999997,,0.84505,,,16959.0,
794,Wyotech-Fremont,Fremont,CA,1,3,21.0,,,,,,,,,0.0,1199.0,0.236,0.1134,0.35200000000000004,0.1226,0.0125,0.0459,0.0892,0.0008,0.0275,0.0,,19612.0,0.6554,,0.6763,,,0.5571,0.5171,12000.0,133.2246,0.45126213600000004,,0.612224082,38800.0,0.626992583,19612.0,1.0
642,American Public University System,Charles Town,WV,3,3,31.0,,,,,,,,,1.0,42460.0,0.5445,0.2396,0.0997,0.0162,0.0067,0.009000000000000001,0.0332,0.0074,0.0436,0.923,,9095.0,0.3054,0.8386,,0.6532,,0.2727,0.8147,17311.0,192.1875876,0.596199525,0.314311429,,,0.822085917,9095.0,1.0
2173,Brookhaven College,Farmers Branch,TX,2,1,21.0,,,,,,,,,0.0,10365.0,0.29600000000000004,0.2017,0.3525,0.101,0.0043,0.0012,0.0086,0.0034,0.0313,0.7967,6881.0,,0.2665,,0.6296,,0.4565,0.086,0.467,,,0.604294479,,0.122729091,37500.0,0.585760534,6881.0,0.0
